"","subject","itemID","pres.order","Item","Itemtype","Length","ColFreq","AdjFreq","NounFreq","MIScore","answer","res","RT"
"1246",10,134,8,"tragic danger","Baseline",13,0,8449,24508,0,FALSE,1,1294
"1247",10,135,36,"warm speed","Baseline",10,0,40333,39633,0,FALSE,1,884
"1248",10,136,47,"weak speech ","Baseline",11,0,19839,50367,0,FALSE,1,1001
"1249",10,137,15,"wet sleep","Baseline",9,0,21716,49735,0,FALSE,1,983
"1250",10,138,134,"wide year","Baseline",9,0,51059,440005,0,FALSE,1,851
"1251",10,139,49,"yellow society","Baseline",14,0,32244,94963,0,FALSE,1,902
"1252",11,1,122,"thick fog","JE",9,145,29284,7176,14.24,TRUE,0,873
"1253",11,2,47,"stupid idea","JE",11,112,17762,126766,12.13,TRUE,0,1436
"1254",11,3,114,"thin lips ","JE",9,266,30704,25883,14.18,TRUE,0,760
"1255",11,4,49,"deep love","JE",9,140,72697,192472,11.53,TRUE,1,1007
"1256",11,5,41,"small room","JE",10,1010,218756,212579,11.35,TRUE,1,878
"1257",11,6,21,"long sleep","JE",10,82,339087,49735,10.71,TRUE,1,1123
"1258",11,7,125,"cold tea","JE",8,37,70610,26082,12.98,TRUE,1,1308
"1259",11,8,73,"broken window","JE",13,249,35921,64072,13.12,TRUE,1,1717
"1260",11,9,80,"final year","JE",10,620,72740,440005,10.34,TRUE,1,1154
"1261",11,10,127,"front tire","JE",10,139,133697,6860,12.06,TRUE,0,973
"1262",11,11,67,"famous person","JE",13,234,34411,145013,11.94,TRUE,1,895
"1263",11,12,48,"good news","JE",9,10360,510181,181545,10.13,TRUE,1,748
"1264",11,13,91,"economic growth","JE",15,6627,117932,71125,12.24,TRUE,1,1189
"1265",11,14,113,"black hole","JE",10,2889,216065,29176,11.36,TRUE,1,1949
"1266",11,15,56,"near future","JE",11,2422,94759,124902,12.16,TRUE,1,1476
"1267",11,16,123,"tragic deaths","JE",13,49,8449,16097,15.11,TRUE,0,1183
"1268",11,17,28,"beautiful woman","JE",15,1386,57918,198046,11.49,TRUE,1,930
"1269",11,18,3,"handsome man","JE",12,606,10463,370606,10.59,TRUE,1,1296
"1270",11,19,112,"bitter experience","JE",17,97,11204,124320,12.16,TRUE,0,1111
"1271",11,20,138,"big eyes","JE",8,321,258911,179554,11.1,TRUE,1,1129
"1272",11,21,18,"high price","JE",10,971,259029,75118,11.1,TRUE,1,882
"1273",11,22,95,"strong wind","JE",11,238,93096,47843,12.58,TRUE,0,1336
"1274",11,23,128,"clean water","JE",11,1797,44428,220809,11.33,TRUE,1,1320
"1275",11,24,81,"bad debt","Eonly",8,203,123592,28828,12.17,TRUE,0,1451
